responsible     adj.有责任；承担义务的；应受责备；可信任的
fair     adj.合理的, 适当的; 公正的; 漂亮的; 浅色的; 金色的; 白皙的; 晴朗的; 相当大(或多、长等)的
journey     n.旅行, 旅程, 〈文学〉历程, 过程
wood     n.木材, 木头, 树林, 木料
badly     adv.很, 非常, 差, 严重地
soil     n.土壤, 土地, 国土, 领土
count     v.数数; 计算; 重要, 有价值; 把…计算在内; 包括; 看作, 算作, 认为
request     n.要求，请求
jump     v.跳，跳跃；跨越；快速移动；突然移动；激增；突然转变（话题）；跳过，略过；突然袭击
worker     n.工人, 工作者, 人员, 工蜂
solve     v.解决, 处理, 解答, 破解
worry     v.担心, 担忧, 发愁, 使担心
justify     v.证明…正确(或正当、有理); 为…辩解(或辩护); 有充分理由; 证明…无罪
percentage     n.百分比, 百分率, 利润的分成, 提成
derive     v.来自，起源；获得，得到
tight     adj.牢固的；紧的；不松动的；难解开的；严格的；密集的；亲密的
response     n.反应，响应； 回答
hat     n.（常指带檐的）帽子, （双重的）职位
tire     v.疲劳, 厌倦, 疲倦, 精疲力竭
gay     adj.同性恋的，与同性恋者有关的；愉快的
access     n.入口； 接近，进入；进入权；使用权；接触的机会
seriously     adv.认真地, 严重地, 严肃地, （用于句首，表示转为谈正事）说正经的
ignore     v.忽视, 对…不予理会, 佯装未见, 不予理睬
necessarily     adv.必然地, 不可避免地
chair     n.椅子, （主持会议或委员会的）主席席位, 委员长职位
phrase     n.短语, 词组, 习语, 成语
attach     v.系；绑；附上；把…固定；认为有重要性（或意义、价值、分量等）；喜欢，依恋
balance     n.平衡, 均衡, 余额, 天平
federal     adj.联邦的
review     n.复习; 回顾, 检讨; 检阅; 评论; 详检, 审核; 回放功能
band     n.带, 条纹, 波段, 频带, 箍, 乐队,一群
version     n.版本；改写本；变体，变种；说法，描述
eliminate     v.排除，剔除；消除
mouth     n.口, 嘴, 河口, 开口
specialist     n.专家；专科医生
attitude     n.态度, 看法, 我行我素的做派, 姿势
dog     n.【动】犬, 【动】雄性的犬科动物, 常用于形容词后, 〈侮辱〉卑鄙的人
emotion     n.情感, 情绪, 强烈的感情, 激情
audience     n.听众，观众，读者；觐见，会见
cope     v.对付, 成功应付; 妥善处理; 竞争; 争斗
magazine     n.杂志, 期刊, 弹药库, (电视,广播的)专题节目
tough     adj.坚韧的; 牢固的; 不嫩的, 老的; 强壮的; 坚强的; 严格的, 强硬的; 困难的, 艰苦的
quick     adj.快的, 迅速的, 短暂的, 敏捷的
quiet     adj.轻声的, 轻柔的, 安静的, 僻静的
plant     n.植物, 工厂, 设备, 发电厂
finally     adv.终于, 最终, （用于列举）最后, 彻底地
financial     adj.财政的, 财务的, 金融的, 有钱的
coach     n.长途汽车，长途客车；教练；辅导教师
radio     n.无线电广播, 无线电广播节目, 收音机, 无线电传送
estate     n.地产, 财产, 遗产; 庄园; 工业区; 商业区; 住宅区; 阶层, 社会地位; (人生)阶段, 状况
purchase     v.购买，采购
citizen     n.公民；市民
rain     n.雨, 雨水, （热带地区的）雨季, 雨点般降落的东西
recently     adv.最近, 近期地, 不久以前地
wall     n.墙, 壁, 墙壁, 城墙
travel     v.旅行, 旅游, 传播, 流传
hire     v.雇用, 聘用, 租用, 录用
ban     n.禁令；诅咒，咒骂
historical     adj.与历史有关的，历史的
intellectual     adj.智力的，脑力的，理智的
routine     n.常规；例程；例行程序
oppose     v.反对，阻挠
alter     v.改变
alternative     adj.可供选择的; 可替代的; 两者(或两者以上)择一的;非主流的; 非传统的
division     n.分开; 分隔; 分配; 分隔物; 刻度, 标度; 部门; 部分; 分歧; 分裂; 除法; [军队编制]师
clock     n.时钟
honest     adj.诚实的, 正直的, 努力(工作)的
analysis     n.分析结果, （对物质成分的）分析
sign     v.签名; 签署; 预示; 以手势表示
criticism     n.批评，指责；评论
creation     n.创作, 创造, 创建, 作品
cloud     n.云, 云朵, 阴影, 一团
marry     v.嫁；娶；（和某人）结婚；为……主持婚礼
hotel     n.旅馆，宾馆，酒店，饭店，酒吧
whereas     conj.尽管, （用于正式文件中句子的开头）鉴于；然而,却,反之
anyway     adv.无论如何，不管怎样；反正, 总之, 而且, 加之
sister     n.姐, 妹, 护士长, （称志同道合者）姐妹
sail     v.起航, 飘, （船）航行, （人）乘船航行
hence     adv.因此，由此；从此，从现在起
hunt     v.打猎, 搜寻, 追捕, 猎杀
afford     v.负担得起；提供，给予
sample     n.样品, 样本, 货样, （用于新乐曲中的）节录乐曲
meanwhile     adv.与此同时, 其间, （比较两方面）对比之下
sleep     v.睡, 入睡, 为…提供床位
dance     n.舞蹈, 跳舞, 舞会, 舞曲
strength     n.力量；力气；实力；强度；牢度；优势, 长处
ill     adj.有病, 不舒服, 坏的, 不良的
previous     adj.先前的，早先的；上一次的
ad     abbr.(advertisement)广告
investigate     v.调查，研究；审查
relatively     adv.相当程度上, 相当地, 相对地
wine     n.葡萄酒, 果酒, 紫红色, 深红色
enjoy     v.享受, 欣赏, 享有, 喜爱
express     v.表达, 表示, 表露, 代表
unfortunately     adv.可惜, 遗憾的是, 不巧
communicate     v.沟通, 传达, 传播, 传染
external     adj.外部的，外面的，外来的
union     n.联盟, 工会, 联合, 联合会
signal     n.信号；标志，预示；指示灯；电波信号
dry     adj.干的, 干燥的, 雨少的, 干旱的
comparison     n.比较，对照
factor     n.因素，要素；因子，因数；倍数；系数；凝血因子
emergency     n.突发事件, 紧急情况
security     n.安全措施；保安部门；担保；保证；安全；抵押品；证券
mine     pron.我的…
accident     n.意外, （交通）事故, 意外遭遇, 不测事件
supporter     n.支持者, 拥护者, （运动队的）支持者
represent     v.代表, 表示; 作为…的代表; 象征; 描绘, 表现
minority     n.少数派；少数群体；少数民族
personality     n.性格，人格；魅力，气质；名人；特色，特征
seek     v.寻求，寻找，物色；搜索
throughout     prep.遍及，贯穿
lock     v.加锁, 卡住, （用锁）锁上, 被锁住
summer     n.夏季, 夏天
blue     adj.蓝色的；（由于冷或呼吸困难）发青的；忧郁的，悲伤的；（电影、玩笑或故事）色情的，黄色的
attend     v.参加；注意，照料
virtually     adv.几乎, 差不多; 实际上, 事实上; 虚拟地
educate     v.教导, 训练, （在学校）教育, 教养
average     adj.平均的；一般的，通常的
knock     v.敲, 撞, 击, 打
publication     n.出版物, 发表, 公布, 发行
conflict     n.冲突; 抵触; 战斗; (小说中的)矛盾冲突
description     n.说明, 形容, 描写（文字）, 类型
occupy     v.占领，占用；住进；使全神贯注
