intervene     v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
confident     adj.自信的；有信心的；确信的，肯定的
reign     n.主宰期，支配期，极盛期；君主统治时期；任期
ferry     n.渡船；摆渡
ego     n.自我，自己；自尊心；自我意识
rest     n.休息；静止；其余的人（或物）；剩余部分；托，支架
confine     v.限制；使局限于；监禁
whirl     vi.旋转，急转；发晕，（感觉等）变混乱
controversial     adj.引起争论的，有争议的
invaluable     adj.非常宝贵的，极为贵重的，无价的
pharmacy     n.药方，药店；药剂学；制药业；一批备用的药品
relevant     adj.紧密相关的，切题的，适宜的；（与当前时代环境等）相符的，相称的
biography     n.传记
sober     adj.未喝醉的，清醒的；严肃的；明智的；持重的
pound     n.镑（英国货币单位，1镑等于100便士）
discreet     adj.谨慎的，慎重的，审慎的
prototype     n.原型，雏形
protein     n.【总称】（尤指作为饮食成分）蛋白质；朊
remainder     n.剩余部分；其他人员；剩余物；剩余时间；差数；余数
gloomy     adj.使悲伤（或消沉）的；阴郁的；前景黯淡的；昏暗的，阴暗的
masculine     adj.男人的；具有男子气质的；阳性的
supersonic     adj.超音速的
ignite     v.（使）燃烧，点燃；【喻】激起（情绪，情势）
explore     v.探索，探讨；对（不熟悉的地区）进行探险；对…进行考察；研究；评估（选择，可能性）
reunion     n.重聚，团聚；重聚联欢会，联谊活动
phenomenon     n.现象，迹象；非凡的人（或事物）
occupancy     n.占有，使用，居住
cluster     v.群集，丛生；聚集
belly     n.肚子，腹部
criticize     v.批评；批判；指责；评论；评价（文艺作品）
package     n.包裹；一揽子（或一整套）建议（或条件）；纸包；盒，箱
compactness     n.紧密；简洁
remain     vi.留下，遗留；留在，逗留；继续存在
lofty     adj.巍峨的，高耸的；崇高的，高尚的；傲慢的
frantic     adj.（因恐惧、焦虑或其他情绪）发狂的，发狂似的
professional     adj.职业的；专业的；（人）职业性的；非业余的；有专业人员水平的；与专业人员相称的
collapse     v.突然失败；崩溃；倒闭；（因生病或受伤而）昏倒；（价格）突然下跌；（货币）突然贬值；
wedge     n.楔（子）
cereal     n.可食用的谷类作物
equivalent     adj.（在价值、数量、功能、意义等方面）相等的，相同的，等同的
exceptionally     adv.异常地，罕见地，特殊地
turbulent     adj.冲突的，动荡的，混乱的，失控的
lease     n.租约，租契
compute     v.估计，估算；计算（数字，数量）
conscious     adj.（意见，想法）自觉的；了解的；意识到的，察觉的；清醒的，有知觉的
register     v.登记，注册，记录
surplus     n.过剩; 剩余; [会计]盈余; 公积金; 顺差
stimulus     n.刺激（器官、组织的）事物，刺激；激励物
consultant     n.顾问；【英】顾问医师，会诊医师
conserve     vt.节约，防止浪费（资源）；保护，保藏，保存
resignation     n.辞职，引退；辞职书，辞呈；屈从，顺从；听任；勉强接受
scrub     v.擦洗，刷洗；取消（原有安排）
enlighten     v.教育；启发，启蒙；指导
disposal     n.处理; 解决; 清除; 赠送; 出售; 排列; 布置；废物处理装置
overhear     v.偶然听到；无意中听到
hound     v.纠缠，不断骚扰
junk     n.废旧物品，破烂
ethical     adj.（与）道德规范（有关）的；（与）伦理（有关）的；合乎道德规范的
tile     n.瓦，瓷砖
denial     n.否认，拒绝；剥夺（权利）
reckon     vt.【非正式】以为，认为，想；把…当作；计算，数；估计，判断；指望，盼望；
sort     n.一类人（或事）；种类；排序，分类
literal     adj.字面的；按照原文的
patent     n.专利（权）；专利证
exclusive     adj.独有的；独享的；独家的；专用的；排斥性的；排他性的；奢华的；孤傲的
finite     adj.有限的；有限制的；有穷的
leisure     n.闲暇；空闲；休闲
dread     v.担忧，忧虑；惧怕，不敢
prey     v.捕食；折磨；损害；使痛苦；使烦恼
characteristic     n.特性, 特征, 特点, 特色
property     n.房地产；个人财产，资产；所有物；【律】所有权，处置权；特性，性质
pedestrian     adj.行人的；缺乏想象力的，平淡无奇的，乏味的
planet     n.地球；行星
illuminate     v.照明，照亮；【喻】阐明，澄清
eternal     adj.永久的，永世的；无休止的，没完没了的；永恒的，永不改变的
rely     vi.相信，信赖；依靠，依赖，依仗
malnutrition     n.营养不良
gorgeous     adj.华丽的，灿烂的；令人愉快的
smog     n.烟雾
sensation     n.感觉，知觉；感觉能力；知觉能力；轰动，哗然，引起轰动的人或事
clinical     adj.临床的，临诊的
silence     n.沉默，默不作声；寂静，无声
smuggle     v.偷运，走私
meadow     n.草地
invalid     adj.（法律上）无效的，不合法的；（观点）站不住脚的
solicitor     n.初级律师，事务律师
vicinity     n.周围地区；邻近地区；附近
carcass     n.（鸟、兽的）尸体，（宰后除脏去头的）畜体；（人的）身躯，躯壳
magistrate     n.地方执法官
haven     n.安全的地方，避难所，庇护所
plateau     n.高原；稳定期，停滞期
heave     v.举，抛，拉；（吃力地）发出声音；（强烈有节奏地）起伏
circumstance     n.经济状况；物质条件；情况，条件，形势，环境
upright     adj.垂直的；正直的，诚实的
constant     adj.不断的；连续的；经常的，不变的
foul     adj.难闻的，发臭的；令人不愉快的；污浊的，肮脏的；下流的；（天气）恶劣的；邪恶的，罪恶的；（体育比赛）犯规的
radiate     v.发出（光或热）；辐射；流露，显示
feast     n.盛宴，筵席；节日
chronic     adj.（问题）长期的；反复的；不断的；（疾病）慢性的
detection     n.（对隐匿之物的）发现，察觉；检测，探测
gleam     v.发微光；闪烁；隐约闪光；（在眼中）闪现
season     n.季节；节期，时节；（瓜果、蔬菜等的）旺季，当令期；雨季； （一部戏剧在一地的）演出期
draft     n.设计图，草图，图样；汇票；通风；征兵
toll     n.过路费，过桥费；不利影响；（自然灾害、冲突、事故等的）伤亡人数
virgin     n.处女；童男；无经验的人；新手
bachelor     n.单身汉; 学士(仅用于头衔或固定表达且B大写)
summon     v.传唤（某人）出席；召集，召开；吁求，请求；鼓起，振作
substitute     n.代替者，代替物
crime     n.罪，罪行；非法行为；违法行为
tap     v.开发；轻叩
occupy     v.占领，占用；住进
mall     n.（由许多商店组成的）购物中心
compel     v.强迫，迫使（某人做某事）；使必须
hinge     n.铰链，合叶
preclude     vt.阻止，排除；妨碍
grant     v.同意；承认；正式地（或合法）地给予（权利，权力，财产等）
constitution     n.宪法；构成，组成； 体质，体格
exotic     adj.奇异的；外（国）来的，异国情调的
mechanical     adj.机械的，机器的；力学的；呆板的
disease     n.病，疾病；不健全，弊端
distort     v.使变形；歪曲；误报；曲解
digest     vt.消化,；（经过一段时间思考）理解；吸收（新信息）
rational     adj.理性的，理智的；明事理的；基于理性的，合理的；基于逻辑的，合乎逻辑的；神智健全的；有理数的
probation     n.【律】缓刑（期）；（以观后效的）察看
slot     n.(投放或插入东西的)窄缝; 槽沟; 狭槽; 位置, 职位; (广播节目等的)一档; 停车空位; 足迹, 踪迹
subsidiary     n.附属公司；子公司
homogeneous     adj.由同种组成的；同质的；均质的
electron     n.电子
initial     adj.开始的，最初的；字首的
norm     n.（尤指社会行为）准则，规范；惯例，典范；常态，正常行为
slick     adj.圆滑的，口齿伶俐的；精巧的；巧妙的，灵巧的；光滑的，滑溜的
perception     n.观念，看法，印象；感知，感觉；察觉；感知能力；认识能力
convention     n.行为规则；惯例；习俗；会议；国际公约
indefinitely     adv.（程度）无限地；不确定地
recipe     n.烹饪法，食谱；方法，秘诀，诀窍
cord     n.细绳，粗线，绳索
contribution     n.贡献；捐款；促成作用；捐献物；（投给报刊登的）稿件
contamination     n.污染，玷污
sticky     adj.（物质）黏性的；发黏的；（天气）湿热的
capability     n.（人或物的）能力范围；能力，才能，才干；容
eloquent     adj.雄辩的，口才流利的，有说服力的；明白显示出的
sovereign     adj.至高无上的；（国家）有独立主权的；（国家事务）自主的
reinforce     v.加强，加固；强化；（感情，看法，习惯）增进，加深
incredibly     adv.非常；极其；不能相信地
literature     n.（尤指有传世艺术价值的优秀）文学作品；文献
desert     v.遗弃，背弃（人，事业，组织）；擅离（部队），逃走
clash     n.冲突；交锋；比赛；差别
betray     v.背叛；出卖；露出…迹象；泄露（秘密）
preference     n.喜好；偏好；更加喜爱；偏爱；偏爱的事物
participation     n.分享，参与
challenge     n.挑战，考验； 挑战书；质询，质疑；异议
confer     vt.授予（头衔，学位，利益，权利）；商谈，商议
insane     adj.极蠢的，荒唐的；（患）精神病的，精神失常的，疯狂的
nonetheless     adv.尽管如此，依然，然而
sympathetic     adj.同情的；和谐的；赞同的，支持的；合意的
kill     vt.杀光，灭绝，使绝迹；致死；终止；挫败；消磨（时间）
clue     n.（揭露事件、解决问题的）线索，提示
oppress     vt.压迫，压制；使（心情等）沉重，使烦恼
expert     n.专家；行家；高手
rejoice     vi.感到高兴，充满喜悦
epoch     n.时代；纪元；时期
refund     n.退款
porch     n.门廊, 门厅, 走廊
coward     n.胆小鬼，懦夫
wreck     n.失事，残骸；精神或身体已垮的人
specific     adj.明确的, 确切的; 具体的; 特定的, 特有的
remnant     n.残迹；残留部分
jack     n.千斤顶；插座，插口；（扑克牌中的）J牌
versus     prep.对，对抗；与…相对；与…相比
confront     v.（问题、困难等）临到（某人）头上；面对；正视；处理（问题，困难）
fiction     n.小说，虚构
profess     vt.表示，承认；宣称信仰
prone     adj.易于…的，很有可能…的；俯卧的
elaborate     adj.精巧的；复杂的；详尽的；精心设计（或制作）的
negligible     adj.微不足道的；不重要的；不值一提的
casualty     n.伤亡人员，死伤者；受害人，损失的东西
branch     n.（家族的）分支；分科；（语言的）分支，语支；（企业或机构的）分部，分行，分号
shrewd     adj.机灵的，敏锐的，精明的
persistence     n.坚持不懈；执意；维持，持续存在
ignore     vt.不顾，不理，无视，忽视；忽略（要点）
endure     v.忍受（痛苦，困难），忍耐；继续存在；持久，持续
discipline     n.纪律；训练；自制；克制；（尤指高等教育中的）学科
itinerary     n.路线，旅行计划
severe     adj.（不好或可厌之物）非常的；严重的；（对人的处罚）严厉的，苛刻的；剧烈的
toxic     adj.有毒的；因中毒引起的
isle     n.小岛，岛
grease     n.（动物）油脂；润滑脂，润滑油
manual     adj.手工的，体力的
nurture     vt.养育，培育，滋养
sequence     n.一系列，一连串；连续事件（或动作，事物）；【生化】序列，顺序；（电影中描述某一组动作的）连续镜头，片段
tease     v.取笑；戏弄；挑逗
inspire     v.激励，激发，鼓舞；引起，导致，使发生
motel     n.汽车旅馆
clearance     n.净空；间距, 余隙；许可(证), 批准；(银行)票据交换, 清算；清除, 清理
strand     n.（线等的）股，缕；一个组成部分
clockwise     adv.顺时针方向地
ornament     n.装饰；装饰品（尤指小雕像一类的小物件）
deficiency     n.缺乏，不足；缺陷，缺点
stability     n.稳定，稳固
overflow     v.溢出；挤满；泛滥；【喻】充满；洋溢（感情，品质）
inland     adv.向内陆，向内地
descent     n.下降，下落，下坡路；血统，家世，门第
beyond     prep.在…的那边，远于；迟于；越出
sieve     n.筛子，漏勺
motivate     v.激发（某人的）兴趣或积极性；激励；使（人）产生动机
therefore     adv.因此，所以
furnish     vt.为（房子，房间）配备家具和家用设施
deliberate     adj.故意的；深思熟虑的，非一时冲动的
triumphant     adj.大获全胜的，巨大成功的；欢欣鼓舞的，洋洋得意的
equip     vt.装备，配备；使做好思想准备，使有所准备，使有能力
decade     n.（以尾数为“0“的年份开始的）十年，十年期；十年时间
optimistic     adj.乐观的，乐观主义的
physiological     adj.生理功能的；生理的，生理学的
melt     v.（使）融化；（使）熔化
compartment     n.卧车包房，（客车车厢内的）隔间；分隔的空间
blush     v.脸红；羞愧
recession     n.（经济的）衰退（期）
budge     v.移动
cannon     n.加农炮，大炮，火炮
divorce     n.离婚，离异；分离，脱离
comprehensive     adj.全面的；无所不包的；综合性的
reject     v.拒绝，抵制；不予考虑；不录用；排斥，排异
ticket     n.票，券；车票；入场券；票证；奖券，彩票；达到目的的方法（或手段、途径）；交通罚单
uranium     n.铀
file     n.档案，卷宗；【计算机】文件；锉，锉刀
empirical     adj.经验主义的；依靠经验的
fraud     n.欺诈，诈骗；骗子；伪品
rectify     v.矫正；纠正；改正
crisis     n.危急时刻；危机
hear     vt.听见；听到；听说；知道；注意听，聆听；重视
snack     n.（两餐之间的）点心，小吃
rewarding     adj.有益的，值得做的
opaque     adj.不透明的；浑浊的；难懂的，隐晦的
rupture     n.破裂，断裂；（关系的）决裂，断绝 v.（使）破裂
sue     v.控告，起诉；要求，请求
fitting     n.试衣；附件；可拆除装置
cavity     n.洞，孔，窟窿；腔
immersed     adj.浸入的；沉思的
fin     n.鳍；（飞机的）垂直尾翼
reveal     v.透露，暴露，泄露，揭露（先前未知或秘密信息）；使显露，展现，显示
coherent     adj.条理清楚的, 连贯的, 前后一致的; 协调的; 一致的; 有黏性的; 聚合在一起的
diagnose     v.诊断，判断，确定（某人的）治疗状况
transmit     v.传送，输送，传递；传达，传递（思想，情感）；表达；发送信号；传导（声、电等）
definitive     adj.最可靠的，权威性的；决定性的
explicit     adj.详述的；明晰的；易于理解的；明确的；直言的
imply     v.暗示；暗指
solitude     n.独居，独处；隐居；孤独
poverty     n.贫穷，贫困
spite     n.恶意，怨恨；(phrase: in spite of) 尽管
turnover     n.营业额，成交量；人员调整，人员更替率
compensate     v.弥补，抵消（不受欢迎的或令人讨厌的事物）；赔偿，赔款
doubtfully     adv.怀疑地，含糊地
fraction     n.小部分；微量；分数
prize     n.奖，奖品，奖金，奖赏；珍品；值得争取的具有极高价值的奖励
gown     n.女礼服，女裙服；（法官等穿的）长袍；（外科医生手术时穿的）罩衣
conception     n.观点；想法，看法；认识；怀孕，受孕
eccentric     adj.（人或其行为、举止）不合常规的，古怪的，怪僻的
numerous     adj.众多的；许多的
curb     vt.抑制，控制，约束
management     n.（公司、组织）经营管理；管理人员；管理层
contrast     n.（明显的）差别（尤指反差）；对比，对照；对照物，对立面
incidence     n.（疾病、犯罪等的）发生，发生率
paperback     n.纸面装订的书；平装书
orientation     n.方向，目标；个人基本信仰，态度；（大学或其他机构的）培训，训练；迎新会
despite     prep.任凭；尽管
murmur     n.低声说出的话，轻柔的谈话声；私下抱怨，嘀咕
flow     n.流，流淌；流动物，…流
incredible     adj.【非正式】极好的，美妙的；难以置信的；非凡的
occasional     adj.不经常的，偶尔的，间或发生的
pride     n.骄傲，自豪；得意，傲慢
hesitate     v.（说话或做事前）犹豫，停顿；勉强，不情愿
touched     adj.被感动的
valve     n.阀; 阀门; (心脏的)瓣膜; <主英>电子管, 真空管
bypass     n.（通过分流手术做的）分路，旁路，旁通管
scheme     n.计划，规划，方案；阴谋，诡计
plunge     v.纵身投入，一头进入；骤降，（价值）猛跌
concentrate     v.集中（人，事物）（于一处）；聚集；全神贯注；全力以赴；聚精会神；首要处理（某事）；注重
scrutiny     n.仔细检查; 认真彻底的审查; 监视, 监督
propel     v.推动，刺激，驱策；迫使
navigation     n.航行（学），航海（术），航空（术）；导航，领航
weird     adj.【非正式】十分奇怪的；奇异的；神秘而可怕的
majority     n.多数；大多数
fulfil     vt.履行，实现，完成；满足，使满意
nickel     n.镍；（美国和加拿大的）五分镍币，五分钱
testimony     n.证据；证明；证词
defeat     v.击败, 战胜; 挫败; 使落空
sergeant     n.中士，警官
pressure     n.（经劝说或胁迫施加的）压力；压强；心理压力；影响；影响力；紧迫，催促；大气压
pattern     n.模式，方式；图案，花样；模型，样品；范本，典范
harmony     n.协调，和谐，统一；和睦（的状态）
cellar     n.地窑，地下室；酒窖
regulation     n.管理，控制；调节；校正；监控；规章，规则，规定，指令
tackle     v.处理，决心处理（问题，难题）；阻截；与某人交涉
ingenious     adj.（物件等）设计独特的，（方法等）别致的，巧妙的；（人、头脑）灵巧的，善于创造发明的
dominant     adj.首要的，主导的，占支配地位的，占优势的
crucial     adj.决定性的；关键性的；至关重要的
cape     n.斗篷，披肩；海角，岬
contention     n.（尤指争论中所持的）观点；争论，争辩
despise     vt.鄙视，看不起
undue     adj.不适当的
modification     n.修改，更改；改型，改装；改变
verdict     n.裁定；定论，判断性意见
corrupt     adj.贪污的，腐败的；不诚实的，不道德的；有缺陷的，有错误的
parasite     n.寄生虫, 寄生物, 寄生植物, 依赖他人过活者
gross     adj.（收入、利润或利息）毛的；总共的；恶心的；严重的；明目张胆的，不能让人接受的
payload     n.（运输工具的）商务载重；（火箭的）有效载重；（企业单位等的）工资负担
discard     vt.丢弃，抛弃，遗弃
notion     n.概念；观念；看法，见解；一时的念头；突发的奇想
concern     vt.认为重要；关心，关切；涉及，关于；使担忧，使烦恼，使不安
charge     n.要价，费用；照管；主管，掌管；指责；指控；控告
conclude     v.下结论；总结；推断；断定
productivity     n.生产率（尤指工业投入与产出的比率）；生产力，生产能力
melody     n.旋律，曲子，曲调
capsule     n.胶囊（剂）；航天舱，密封舱
refresh     v.（使）振作精神，（使）恢复活力
convene     v.召集；开会，集合
precedent     n.先例，前例；范例，惯例
stitch     n.缝；针脚
master     n.专家，能手，高手；硕士；主人
monster     n.怪物；怪兽；恶人
defect     n.缺点，缺陷，缺乏
coin     n.硬币；金属货币
mourn     v.哀悼；（对…）感到痛心（或遗憾）
deficient     adj.缺乏的，不足的；有缺点的，有缺陷的
hatch     v.（蛋）孵化；策划（尤指秘密计划）
complaint     n.怨言，牢骚；抗议；控告，控诉
saturate     vt.使湿透，使浸透；使充满，使饱和
prosperous     adj.成功的；富足的；繁荣的，兴旺的
resent     v.愤恨，憎恶，怨恨
burden     n.〈喻〉精神负担；重担，重任
foil     n.箔，金属薄片；陪衬，衬托
induce     vt.诱使，引诱；导致，致使，引起
juvenile     adj.（与）青少年（有关）的；幼稚的，不成熟的
ozone     n.臭氧
finance     v.为（个人，企业）供给资金
certainty     n.确定的事实；必然发生的事
invert     vt.使倒转，使倒置；使颠倒
legislation     n.立法，法律的制定；【总称】法律，法规
release     v.公布，发布（消息）；公开发行（电影、录音制品等）；释放，解放；使（某物）扩散，释放，释出，逸出；出院
oak     n.栎，橡树；栎木，橡木
commence     v.开始发生；开始；着手
string     n.线，细绳；一系列，一连串（类似物品或事件）
duke     n.公爵
sneak     vt.偷偷地做（或拿、吃）vi. 偷偷地走，溜
various     adj.不同的；各种各样的；不只一个的，各别的
debate     n.讨论，辩论，论战
inclusive     adj.不排斥其中任何团体的，不排斥任何一方的；一切服务（或项目）包含在内的
motive     n.动机，目的
encounter     v.偶然碰到；遭遇，遇到（困难或敌对的事）；面临
fiber     n.【美】（饮食）纤维素，同 fibre；纤维；（织物或绳等）纤维制品
principal     n.（中学、学院等的）校长；院长；负责人; 主要演员；本金；委托人； 主犯
forthcoming     adj.即将来临的；即将发生的；乐于提供消息的
poetry     n.诗，诗歌，诗集
reputation     n.名声，美名，名誉
brutal     adj.野兽般的，残忍的；无情的，冷酷的；难以忍受的
entity     n.实体，独立存在体，实际存在物
original     adj.开始的；首先的；原版的；有独创性的
rapid     adj.快的，迅速的；迅捷发生（或进行）的
diversion     n.转向，转移；偏离；绕行路线；消遣，娱乐
fundamental     adj.基本的，根本的，基础的，核心的；至关重要的；影响问题的本质（或关键）的；与问题的本质（或关键）有关的
twist     v.拧，缠绕；扭伤（关节）
claim     v.要求；索取；认领；自称，声称，断言
fabric     n.结构；织物，织品
lunar     adj.月球的；月亮的
radically     adv.根本上
clan     n.宗族，家族
intellect     n.智力，领悟力，理解力；智力高的人；知识分子
implication     n.暗示，含义；可能引发的后果
merge     v.（使）结合；融合，合为一体；渐渐消失
colleague     n.同事，同僚
giggle     v.咯咯笑，傻笑
proof     n.证据，证明，证物；证词，证言；检验, 证实；校样，样张
repression     n.压抑，压制；镇压
lieutenant     n.陆军中尉；海军上尉
defendant     n.被告
input     n.输入；（工作、信息的）捐献，投入，加入；放入物；带入物；被操作物
brink     n.（悬崖、河流等的）边缘，边沿
enhance     v.提高；增强；增进
recruit     vt.招募（新兵），招聘，招收（员工，支持者）；吸收（新成员）
purify     v.使纯净；精炼，提纯；使（某物或心灵）净化
deficit     n.赤字，亏损，逆差；不足额
industry     n.工业，产业；行业
prime     adj.首要的，主要的； 最初的；最好的； 头等的，第一流的；青春的； 精力旺盛的；最典型的； 【数】素数的
venture     v.冒险；冒险旅行；敢于；猜测；以…作赌注
student     n.学生；研究生；学者
council     n.委员会；理事会；（市、县或地方行政区的）政务委员会
quart     n.夸脱（液量单位）
ingredient     n.成分，（烹饪的）原料；因素，要素
scratch     v.划伤皮肤；挠；取消
compose     v.创作（艺术作品，尤指音乐，诗歌）；组成，构成（整体或整体的一定份额）；使镇静
drawback     n.缺点，欠缺；不利条件，障碍
intense     adj.（行动）高度集中的；强烈的，剧烈的；强劲的
outline     n.提纲，大纲；轮廓线；梗概；略图
veto     v.行使否决权；拒绝认可；禁止；拒不接受
magnetic     adj.有磁性的；与磁性有关的；有吸引力的
dissipate     v.（使）消散，驱散；挥霍，浪费
insect     n.昆虫，虫
deserve     v.应得，值得
perfume     n.香气，芳香；香水，香料
counsel     n.劝告，忠告，建议；法律顾问；律师
fake     n.赝品，假货；冒充者
cognitive     adj.认知的，认识能力的
tempt     v.引诱，诱惑；很想做；使感兴趣
memorize     v.记住，熟记
diverse     adj.不同的，多种多样的
expression     n.表达；陈述；（艺术作品或乐曲演奏中的）感情传达；表情；词句，措词；表达方式；措辞
prevailing     adj.盛行的，流行的，占优势的
magnitude     n.巨大，广大； 重大，重要； 量级； （地震）级数
design     n.设计方案，设计图，设计；构思，制订；图样
seemingly     adv.表面上；显得；好像
impair     vt.损害，损伤；削弱
commentary     n.（关于事件或情况的）评论；解说
discharge     v.允许离开（医院、军队）；排出，放出
hero     n.（一般指男性）英雄；男主角
coarse     adj.粗糙的；粗劣的；粗俗的
profound     adj.深远的，深切的；（状态，品质，情感）巨大的；深刻的；（人，叙述）深邃的；渊博的，见解深刻的；极度的，彻底的
pesticide     n.杀虫剂，农药
envious     adj.嫉妒的，羡慕的
relief     n.救济；补助；（疼痛、不便之处、痛苦等）缓解，减轻；（忧虑或痛苦消除后感到的）宽慰，欣慰，放心
school     n.学校；（大学的）系；科；院；大学；（一天的）功课；流派；上课；全校师生
sculpture     n.雕像，雕塑品；雕刻术，雕塑术
realistic     adj.现实的；实际可行的；实事求是的；注重实际的；明智的，恰如其分的；逼真的，栩栩如生的
tremendous     adj.（数额、规模或强度上）极大的，巨大的；极好的
wardrobe     n.衣柜，衣橱；（个人）全部服装
deport     vt.把…驱逐出境
hazard     n.危险，风险
embody     v.具体表现，体现；代表；包括；收录
Mercury     n.水星; (m小写)水银, 汞
enclosure     n.圈地；围场；附件
pursue     v.（长期）追求，寻求，达到（目标）；从事，忙于（活动）；实行，采取（行动路线）；追赶；沿着（小道，路线）前进，延伸
haul     v.（人）拖，拉
battle     v.奋争；搏斗；与…作战
distinct     adj.可辨别的；有区别的；不同的；明显的
medium     adj.中等的；中号的；适中的
extravagant     adj.奢侈的；铺张浪费的；过于昂贵的
contact     n.接触；见面；联系；交往；关系；传达；遭遇，遇见；有用的社会关系；联系人，联络人；情报来源
disrupt     vt.扰乱；打断（事件，活动，进程）
coat     n.外套，外衣；防护外衣；（动物的）皮毛
household     n.家庭，一家人
spacious     adj.广阔的，宽敞的
deceive     vt.（某事）使（某人）以错误印象，误导（某人）；欺骗，蒙蔽，行骗
cabin     n.(轮船上生活或睡觉的)隔间; (飞机的)座舱; (通常为木制的)小屋
reluctant     adj.不情愿的，勉强的
contradict     vt.与…矛盾；与…抵触；相悖；否定…的真实性
belt     n.安全带（seat belt 的简称）；皮带，腰带，肩带，传动带，传送带
yoke     n.奴役；束缚；枷锁；轭
inertia     n.【物理】惯性
spear     n.矛，梭镖，矛尖
decimal     n.小数
successor     n.接替者；继任者；接替的事物；后继的事物
cling     vi.坚持，墨守；牢牢粘住；难以除去；黏着，缠着，紧紧握着
scope     n.范围；领域；眼界；余地，机会；观察仪器(显微镜、望远镜等)
wax     n.蜡，蜂蜡
standing     n.地位；级别；身份；名望
classical     adj.受古希腊（或罗马）风格影响的；标准的；传统的，经典的
fabricate     v.制造；编造；捏造；装配
possess     v.具有；【律】持有，私藏；占有, 支配; 影响, 控制
stable     adj.稳定的；持久的；稳固的； 稳重的
handsome     adj.（男子）英俊的；（女子）端庄健美的；相当大的
privacy     n.（不受干扰的）个人自由；隐私，私生活，私事；秘密；私下
fragrance     n.芳香，香味；香水
shabby     adj.破旧的，破烂的；不公正的，不光彩的
streak     n.条纹，条痕；（性格的）特征，倾向；一阵子，一连串
solicit     v.恳求；教唆
chancellor     n.【美】大学校长；大学行政长官
unity     n.团结，一致；联合（状态）；统一（状态）
migration     n.（动物）迁徙，洄游；（人）移居
initially     adv.开头，最初，首先
garment     n.（一件）衣服
combine     v.结合，联合，合并；同时参与；兼有；为共同目的而联合
pristine     adj.早期的，太古的；质朴的；崭新的
drain     v.耗尽；排出，排干；喝光；使精疲力竭，使无精打采
inaugurate     v.举行就职典礼；举行落成仪式；开始，开创
wholesaler     n.批发商
senator     n.参议员
solemn     adj.严肃的，庄严的，正式的；郑重的
diverted     v.(动词divert过去式&过去分词)(使)转向; (使)转移; 使绕道; 使得到消遣; 盗用; 避开
stab     v.刺，戳
contract     n.（尤指雇用、销售或租赁）合同，契约；【旧】婚约
reservation     n.预订，预约（尤指座位、房间等）；保留意见
formal     adj.正式批准（或认可）的；正规的；正式的
prosper     vi.兴旺，繁荣，成功；蓬勃发展；健康成长
maximum     adj.最高的，最大的；最大限度的
vast     adj.广阔的；大量的；巨大的
simultaneously     adv.同时地
object     n.（可见或可触摸的）物体，东西；目的, 宗旨；<语>宾语；<哲>客体, 客观；（思想或行动的）对象
vocal     adj.嗓音的; 发声的; 大声表达的, 口述的; 直言不讳的; 喜欢畅所欲言的;元音的; 浊音的
kidnap     v.劫持；绑架
embed     vt.把（物体）牢牢嵌入；埋置；【喻】使（观点，情感）深植于
mass     adj.大量的，大批的；民众的，群众的
employ     v.雇用；使用，利用
deal     v.处理；论及，讨论；应对（难缠的人，困难局面）；发牌
commit     vt.犯（错，罪）；干（坏事）；献身；投入；把（某事物）移交（给…保管）；转化成（某一状态）；使（人，组织）作出保证；使承担义务；约束
presentation     n.报告，演讲；展示会，发布会；授予；外观，外貌；（新产品，新观点，新作品的）展示；表述；描述
diploma     n.毕业文凭；学位证书
cosmopolitan     adj.世界性的，全球的；世界主义的，四海为家的
shoulder     n.肩膀；（衣服）肩部；路肩；（phrase. rub shoulders with someone）与某人交往（尤指富人和名人）
modify     v.修改，更改；改变；【生】使改形，使转化
negligence     n.疏忽，粗心大意
lever     n.杠杆，控制杆；工具；【喻】（为使某人做某事而向其施加压力时所用的）手段，方法
captive     n.俘虏；猎获物；囚徒
bowel     n.肠；[pl.]内部，深处
bump     v.偶尔遇见，邂逅；碰撞，撞上；颠簸而行
interrupt     v.中止，中断，打断 （活动或过程）
coalition     n.结合体，同盟；结合，联合
bully     vt.威吓，恫吓
religion     n.宗教；宗教信仰
evil     adj.恶毒的，邪恶的，有害的；令人讨厌的
principle     n.原理，原则；（个人行为）准则；规范；定理
descend     v.下降；降临；降低身份
forge     v.〈喻〉创造，缔造（强大、不朽或成功的东西）；伪造，假冒
exclusively     adv.仅仅；专门地；单独地；特定地；排外地
profession     n.（尤指需要长期训练和正规资格的）职业；行业，领域；同行, 业内人士
verbal     adj.口头的；与文字有关的，文字上的；动词的
purchase     n.（购）买；所购物品
shipment     n.运输，装运；托运；装载的货物量；
lot     adv.【非正式】很多地；非常
independence     n.独立，自主，自立
function     n.功能，机能，作用，目的
orient     v.使朝向；以…为方向；确定方位，认识方向；（使）熟悉；使适应；调节
helmet     n.头盔; 防护帽
plausible     adj.（论点，观点）似乎有道理的；似乎可能的；似乎正确的，貌似可信的
discrete     adj.分离的, 互不相连的; 离散的
bruise     n.青肿，挫伤；（水果等的）伤痕，擦痕
geology     n.地质学；（某一地区的）地质特征
tick     v.给…标记号；发出滴答声
similar     adj.相似的；类似的；相像的
graze     v.放牧；吃草；擦伤；【非正式】（人）时不时吃点东西，吃零食
surgery     n.外科手术；外科；诊所
entail     vt.使承担，使成为必需；使成为必然
