cart n.手推车, （两轮或四轮）运货马车, 手拉车
organize v.把…组织起来；使有条理，安排
applaud v.（对人或行为）表示强烈赞同；赞扬
affection n.喜欢，喜爱；感情
underneath prep.在…下面
liability n.法律责任，责任；起妨碍作用的人（或物），不利因素；欠债，负债
ignorant adj.对…无知的，不了解的；愚昧的，无学识的
coordinate v.配合；协作；使（身体各部位）动作协调
railroad n.铁路
fruitful adj.卓有成效的；有收益的；多产的
revolve v.（使）旋转； （天体）自转，公转；围绕；（使）循环往复；一再浮现；反复思考；以…为最重要内容，以…为中心
imaginary adj.想象中的，假想的，虚构的，幻想的
lens n.透镜，镜片
forge v.〈喻〉创造，缔造（强大、不朽或成功的东西）；伪造，假冒
distinct adj.可辨别的；有区别的；不同的；明显的
assignment n.（布置的）作业；（分配的）任务
upright adj.垂直的；正直的，诚实的
fleet n.舰队，船队；车队
industrialize v.（使）工业化
faculty n.能力，才能；（大学系、科或学院的）全体教学（或科研）人员
rage n.盛怒；风靡一时
curve n.图表曲线（直或曲线，表示量的变化情况）；弯曲
correspond v.相似；相符；一致；通信
slope n.斜坡，坡地；倾斜，斜面
assess v.评价, 评定; 估价, 估计
interference n.扰乱，干扰；被干扰
peculiar adj.奇怪的，古怪的；独特的，特有的，独具的
portable adj.轻便的，便携的；手提式的
shortly adv.立刻，马上；不久；没好气地，不耐烦地
elevator n.电梯，升降机
utmost adj.极度的，最大的
complexity n.复杂；复杂性；难题；难以理解的局势
detection n.（对隐匿之物的）发现，察觉；检测，探测
subway n.地道，地铁
compact adj.小型的；袖珍的；紧凑的
realm n.界，领域，范围；王国
storage n.贮藏（法），储存（法）；存储空间，仓库；保管费
tragedy n.悲剧性事件，惨事，惨剧，惨案，灾难；悲剧作品
chill v.使……冰冷; 变冷; 使震惊; 使沮丧; 镇定下来, 放松
despair n.绝望
badge n.徽章，奖章；标记，标识；警徽；象征
antique adj.古时的; 古老的; 古风的, 古式的; 古董的; 陈旧的, 过时的
routine n.常规，惯例；固定程序；例行公事；日常工作
portion n.一部分；（食物的）一（人）份
rack n.挂架，搁架
resume v.重新开始；（中断后）继续；恢复地位、职位
adventure n.冒险经历，奇遇
speculate v.推测，猜测；投机
purify v.使纯净；精炼，提纯；使（某物或心灵）净化
intend v.想要；打算，计划；确定要（人或物）充当或做
appliance n.（用于特定目的的）器具（尤指家用器具）
solemn adj.严肃的，庄严的，正式的；郑重的
emphasis n.重点；重要性；重点强调
considerable adj.相当大的; 相当多的; 重大的, 重要的; 值得注意的
electronics n.电子学；电子电路；电子器件
aggressive adj.侵略性的；好斗的；有进取心的；有闯劲的
naturally adv.（结果）自然而然地；当然；天生，生性；天然地
radar n.雷达，无线电探测系统
ballet n.芭蕾舞；芭蕾舞剧
dental adj.（与）牙齿（有关）的
occasional adj.不经常的，偶尔的，间或发生的
van n.大篷车，运货车
editorial n.社论
scout n.童子军；侦察员；侦察机；侦查蜂
bearing n.影响，关系，关联；方位；轴承；举止；宽容，容忍
probable adj.可能发生的；或然的；大概的
accordingly adv.相应地；因此，所以，照着
compensate v.弥补，抵消（不受欢迎的或令人讨厌的事物）；赔偿，赔款
uneasy adj.担心的，忧虑的；不稳定的，靠不住的；令人不安的，令人不舒服的；不和谐的，不协调的
sensitivity n.敏感；敏锐；体贴，善解人意；多愁善感；灵敏度；过敏性
locality n.地区，位置，地点，发生地
burst v.爆炸；炸裂；崩裂
intent adj.专心的，专注的；决心的，执意的；
flourish v.迅速发展；兴旺，成功
detect v.发现，识别；检测，探测；察觉
whip vt.鞭笞；猛地移动；搅打（奶油、蛋等）成糊状
equality n.相同；（尤指地位、权利的）平等，（机会）均等
offend v.冒犯，得罪；违反
passive adj.被动的，消极的
mystery n.神秘的事物；难以理解的事物；谜
insert v.插入，嵌入；（在文章中）加插
comprehensive adj.全面的；无所不包的；综合性的
bubble n.〈喻〉泡沫；幻想，泡影，空想
odd adj.反常的；奇怪的；奇数的
gulf n.海湾；〈喻〉鸿沟；（观点，观念或情况等的）巨大分歧
lace n.饰带，花边，缎带
reunion n.重聚，团聚；重聚联欢会，联谊活动
doubtful adj.拿不准的，不能肯定的，疑惑的，怀疑的
formation n.形成，组成，形成方式，结构；形成的事物；队形
certainty n.确定的事实；必然发生的事
revolutionary adj.革命性剧变的，大变革的；突破性的
peril n.（严重且迫在眉睫的）危险，威胁；险情
valid adj.有效的；有确实根据的；正当的，合法的
dimension n.尺寸；容积；维度；（局势的）方面；特征
proficient adj.熟练的；精通的；训练有素的
priest n.神父，牧师；（非基督教教会的）神职人员
furnish vt.为（房子，房间）配备家具和家用设施
deprive v.剥夺（人，地方）对某物的所有（或使用）
worthless adj.无价值的；不值钱的；没用处的
variable adj.可变的，易变的
rib n.排骨；肋条；（船或屋顶等的）肋拱；（织物的）凸条花纹
definite adj.明确的，确定无疑的
slippery adj.滑的；狡猾的；（词语，概念）含糊的；难以捉摸的
bolt n.螺栓，插销
luxurious adj.奢侈的，豪华的，极其舒适的
quarterly adj.季度的；按季度的；每季的
sociology n.社会学
chop n.砍，劈，剁；猪排，羊排
shrug n.耸肩
uncover v.揭开；揭露；发现，发掘（地下埋藏之物）
hay n.干草；(phrase: hit the hay)睡觉
inward adj.内心的，精神的，灵魂中的
backward adj.向后的
documentary n.纪实电影（或电视、广播）节目
haul v.（人）拖，拉
convention n.行为规则；惯例；习俗；会议；国际公约
inhabitant n.居民，住户；栖居的动物
dean n.（大学）教务长，系主任，院长，医学院院长
maid n.女仆，女佣人；少女
complication n.使更复杂化的事物；【医】并发症
veil n.面纱，面罩，头巾；掩饰，掩盖，托辞
feasible adj.可行的，行得通的；合理的；可用的，适宜的；容易办得到的
corridor n.走廊；过道
cruelty n.残酷行为（或态度）；残酷，残忍
minus prep.减去；（温度）零下
